#رقم	الكلمة	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرده	تأنيث	تثنية	ج. مؤ.س.	ج, مذ, س,	منقوص	تنوين نصب	نسب	إض, لف,	ـو	نكرة	معرف	غ. عاقل	عاقل	تنون النصب للجمع	شرح
6431	مُضِيٌّ		مضي		مصدر	مَضَى		مذكر			مفرد	+ات			DnN	Pf			Tn									"مُضِيٌّ-مُضِيٌّ [م ض ي] (مص. مَضَى). ""الْمُضِيُّ فِي العَمَلِ"": الاسْتِمْرَارُ فِيهِ، الْمُتَابَعَةُ."
6432	تَمْصيرٌ		مصر		مصدر	مَصَّرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَمْصيرٌ-تَمْصيرٌ [م ص ر] (مص. مَصَّرَ). 1.""تَمْصيرُ المكانِ"" : جَعْلُهُ مِصْراً، أَيْ مَدينَةً. 2.""تَمْصيرُ الأمْصارِ"" : بِناؤُها، تَشْييدُها. 3.""تَمْصيرُ الوَلَدِ"" : جَعْلُهُ مِصْرِيّاً."
6433	مَصْلٌ		مصل		مصدر	مَصَلَ		مذكر			مفرد	مُصُولٌ			DnN				Tn	R								"(مص. مَصَلَ). 1.""مَصْلُ اللَّبَنِ"" : الْمَاءُ الْمُسْتَخْرَجُ مِنْهُ عِنْدَ تَخَثُّرِهِ. 2.""مَصْلُ الدَّمِ"" : سَائِلٌ رَقِيقٌ أَصْفَرُ يَنْفَصِلُ مِنَ الدَّمِ عِنْدَ تَخَثُّرِهِ. 3.""مَصْلُ التَّلْقِيحِ"" : مَا يُؤْخَذُ مِنْ دَمِ حَيَوَانٍ مُحَصَّنٍ مِنَ الإِصَابَةِ بِمَرَضٍ كَالْجُدَرِي وَالدِّفْتِرْيَا، لِيُحْقَنَ بِهِ جِسْمٌ آخَرُ لِيُكْسِبَهُ مَنَاعَةً تَقِيهِ الإِصَابَةَ بِذَلِكَ الْمَرَضِ. 4.""مَرَضُ الْمَصْلِ"": صَدْمَةٌ ذَاتُ حَسَاسِيَّةٍ تَحْدُثُ مِنْ إِعَادَةِ حَقْنِ الْمَصْلِ."
6434	مُصُولٌ		مصل		مصدر	مَصَلَ		مؤنث			جمع		مَصْلٌ						Tn									
6435	مَضَضٌ		مضض		مصدر	مَضَّ		مذكر			مفرد								Tn	R								"مَضَضٌ-مَضَضٌ [م ض ض] (مص. مَضَّ). ""عَلَى مَضَضٍ"" : عَلَى كُرْهٍ."
6436	مَضٌّ		مضض		مصدر	مَضَّ		مذكر			مفرد								Tn	R								"مَضٌّ-مَضٌّ [م ض ض] (مص. مَضَّ). 1.""رَجُلٌ مَضُّ الضَّرْبِ"" : مُوجِعُهُ. 2.""دَوَاءٌ مُضٌّ"" : حَادٌّ، مُوجِعٌ. ""كُحْلٌ مَضٌّ""."
6437	مَضْغٌ		مضغ		مصدر	مَضَغَ		مذكر			مفرد								Tn	R								"مَضْغٌ-مَضْغٌ [م ض غ] (مص. مَضَغَ). ""مَضْغُ الطَّعَامِ"" : لَوْكُهُ."
6438	مَضْمَضَةٌ		مضمض		مصدر	مَضْمَضَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"مَضْمَضَةٌ-مَضْمَضَةٌ [م ض م ض] (مص. مَضْمَضَ). 1.""مَضْمَضَةُ الْمَاءِ فِي الفَمِ"" : تَحْرِيكُهُ بِإِداَرَتِهِ فِي الفَمِ. 2.""مَضْمَضَةُ الفَمِ"" : مُسْتَحْضَرٌ صَيْدَلِيٌّ سَائِلٌ يُمَضْمَضُ فِي الفَمِ لِتَطْهِيرِهِ أَوْ لِعِلاَجِهِ."
6439	تَمْضِيَةٌ		مضي		مصدر	مَضَّى		مؤنث			مفرد	+ات			DnN	Pf			Tn									"تَمْضِيَةٌ-تَمْضِيَةٌ [م ض ي] (مص. مَضَّى). 1. ""تَمْضِيَةُ قَرارٍ"": إِنْفاذُهُ. 2.""تَمْضِيَةُ الوَقْتِ"" : قَضاؤُهُ"
6440	مَضَاءٌ		مضي		مصدر	مَضَى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"مَضَاءٌ-مَضَاءٌ [م ض ي] (مص. مَضَى). 1.""مَضَاءُ السَّيْفِ"": حِدَّتُهُ وسُرْعَةُ قَطْعِهِ. 2.""مَضَاءُ العَزِيمَةِ"" : قُوَّتُهَا، شِدَّتُهَا. ""رَجُلٌ ذُو عَزِيمَةٍ وَمَضَاءٍ"" ""مَا كَانَ العُنْفُ لِيَزِيدَ الْمَبَادِئَ الشَّرِيفَةَ إِلاَّ قُوَّةً وَمَضَاءً"". (إسحق الحسيني)."
6441	مَقْمَقَةٌ		مقمق		مصدر	مَقْمَقَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"مَقْمَقَةٌ-مَقْمَقَةٌ [م ق م ق] (مص. مَقْمَقَ). ""مَقْمَقَةُ الصَّوْتِ"": حِكَايَتُهُ، تَرْدِيدُهُ مِنَ البَطْنِ. ""مَقْمَقَةُ كَلاَمٍ""."
6442	مَطَرٌ		مطر		مصدر	مَطَرَ		مذكر			مفرد	أَمْطَارٌ			DnN				Tn	R								"(مص. مَطَرَ). ""أَمْطَرَتِ السَّمَاءُ مَطَراً"" : مَاءُ السَّحَابِ. ""مَطَرٌ بِلاَ سَحَابٍ""."
6443	أَمْطَارٌ		مطر		مصدر	مَطَرَ		مؤنث			جمع		مَطَرٌ						Tn									
6444	مَعْجَمَةٌ		عجم		مصدر	مَعْجَمَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"مَعْجَمَةٌ-مَعْجَمَةٌ [ع ج م] (مص. مَعْجَمَ). ""مَعْجَمَةُ مُفْرَدَةٍ"" : تَسْجِيلُهَا، وَضْعُهَا فِي مُعْجَمٍ، أَوْ إِضْفاءُ طابَعِ الْمُعْجَمِيَّةِ عَلَيْها."
6445	مَعْمَعَةٌ		معمع		مصدر	مَعْمَعَ		مؤنث			مفرد	مَعَامِعُ			DnN				Tn	R								"(مص. مَعْمَعَ). ""فِي مَعْمَعَةِ الْحَرْبِ"" : فِي خِضَمِّهَا وهَيَجَانِهَا."
6446	مَعَامِعُ		معمع		مصدر	مَعْمَعَ		مؤنث			جمع		مَعْمَعَةٌ														Non	
6447	مَغْصٌ		مغص		مصدر	مُغِصَ;مَغِصَ		مذكر	مَغَصٌ		مفرد	أَمْغَاصٌ			DnN				Tn	R								"(مص. مُغِصَ، مَغِصَ). ""أَصَابَهُ مَغَصٌ"" : مَغَسٌ، وَجَعٌ والْتِوَاءٌ وتَقْطِيعٌ فِي الأَمْعَاءِ أَوْ الْكُلْيَةِ."
6448	أَمْغَاصٌ		مغص		مصدر	مُغِصَ;مَغِصَ		مؤنث			جمع		مَغْصٌ						Tn									
6449	مَغْنَطَةٌ		مغنط		مصدر	مَغْنَطَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"مَغْنَطَةٌ-مَغْنَطَةٌ [م غ ن ط] (مص. مَغْنَطَ). ""مَغْنَطَةُ الْحَدِيدِ"": شَحْنُهُ بِالتَّيَّارِ الْمِغْنَاطِيسِيّ."
6450	مَقْتٌ		مقت		مصدر	مَقَتَ		مذكر			مفرد								Tn	R								"مَقْتٌ-مَقْتٌ [م ق ت] (مص. مَقَتَ). ""يُكِنُّ لَهُ الْمَقْتَ"" : البُغْضَ الشَّدِيدَ.غافرآية 10 لَمَقْتُ اللَّهِ أَكْبَرُ مِنْ مَقْتِكُمْ أَنْفُسَكُمْ . (قرآن)."
6451	مَلَلٌ		ملل		مصدر	مَلَّ		مذكر			مفرد								Tn	R								"مَلَلٌ-مَلَلٌ [م ل ل] (مص. مَلَّ). ""يَعِيشُ فِي مَلَلٍ"" : فِي ضَجَرٍ، فِي سَأَمٍ، سَآمَةٍ."
6452	مُكَاءٌ		مكو		مصدر	مَكَا		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"مُكَاءٌ-مُكَاءٌ [م ك و] (مص. مَكَا). ""مُكَاءُ الطَّيْرِ"" : صَفِيرُهُ.الأنفال آية 35 وَمَا كَانَ صَلاَتُهُمْ عِنْدَ البَيْتِ إِلاَّ مُكَاءً وتَصْدِيَة . (قرآن)."
6453	مُكْثٌ		مكث		مصدر	مَكَثَ		مذكر			مفرد								Tn	R								"مُكْثٌ-مُكْثٌ، مَكْثٌ [م ك ث] (مص. مَكَثَ). ""لَمْ يَكُنْ مَكْثُهُ طَوِيلاً بِالقَرْيَةِ"" : مَقَامُهُ."
6454	مَكْرٌ		مكر		مصدر	مَكَرَ		مذكر			مفرد								Tn	R								"مِكَرٌّ-مِكَرٌّ [ك ر ر]. ""فَرَسٌ مِكَرٌّ"" : كَثِيرُ الكَرِّ فِي القِتَالِ، الْمُطَاوِعُ صَاحِبَهُ فِي الهُجُومِ. ""مِكَرٍّ مِفَرٍّ مُقْبِلٍ مُدْبِرٍ"". (امرؤ القيس)."
6455	مَكْسٌ		مكس		مصدر	مَكَسَ		مذكر			مفرد	مُكُوسٌ			DnN				Tn	R								"(مص. مَكَسَ). ""الْمَكْسُ مِنَ الْمَدَاخِيلِ الهَامَّةِ لِمَوَارِدِ الدَّوْلَةِ"" : مَا يُؤَدَّى مِنْ ضَرَائِبَ عَلَى مَا يُبَاعُ فِي الأَسْوَاقِ."
6456	مُكُوسٌ		مكس		مصدر	مَكَسَ		مؤنث			جمع		مَكْسٌ						Tn									
6457	تَمْكِينٌ		مكن		مصدر	مَكَّنَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَمْكِينٌ-تَمْكِينٌ [م ك ن] (مص. مَكَّنَ). ""سَعى إلَى تَمْكِينِهِ مِنَ النَّجَاحِ"" : جَعْلُهُ مُتَمَكِّناً مِنَ النَّجَاحِ."
6458	مَكَانَةٌ		مكن		مصدر	مَكُنَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"(مص. مَكُنَ). ""يَتَمَتَّعُ بِمَكَانَةٍ خَاصَّةٍ"" : بِشَأْوٍ، بِشَأْنٍ، بِمَرْتَبَةٍ، بِمَنْزِلَةٍ، بِرِفْعَةٍ. ""الْمَكَانَةُ الْمَرْمُوقَةُ"" ""هُوَ ذُو مَكَانَةٍ""."
6459	مَكْنَنَةٌ		مكن		مصدر	مَكْنَنَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"مَكْنَنَةٌ-مَكْنَنَةٌ [م ك ن] (مص. مَكْنَنَ). ""مَكْنَنَةُ الإِنْتَاجِ"" : أَيْ إِخْضَاعُهُ لِعَمَلِ الآلَةِ بَدَلاً مِنَ العَمَلِ اليَدَوِيِّ."
6460	مَلاَلٌ		ملل		مصدر	مَلَّ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"مَلاَلٌ-مَلاَلٌ [م ل ل] (مص. مَلَّ). ""يَعِيشُ فِي مَلاَلٍ"" : فِي ضَجَرٍ، سَأَمٍ."
6461	أَمْلاَكٌ		ملك		مصدر	مَلَكَ		مؤنث			جمع		مُلْكٌ						Tn									
6462	تَمْلِيحٌ		ملح		مصدر	مَلَّحَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَمْلِيحٌ-تَمْلِيحٌ [م ل ح] (مص. مَلَّحَ). 1.""تَمْلِيحُ الطَّعَامِ"" : وَضْعُ المِلْحِ فِيهِ، تَكْثِيرُ مِلْحِهِ. 2. ""تَمْلِيحُ السَّمَكِ"" : جَعْلُ المِلْحِ فِيهِ وَتَقْدِيدُهُ."
6463	مُلُوحَةٌ		ملح		مصدر	مَلُحَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"مُلُوحَةٌ-مُلُوحَةٌ [م ل ح] (مص. مَلُحَ). ""مَاءٌ بِهِ مُلُوحَةٌ"" : بِهِ طَعْمُ المِلْحِ."
6464	تَمْلِيسٌ		ملس		مصدر	مَلَّسَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَمْلِيسٌ-تَمْلِيسٌ [م ل س] (مص. مَلَّسَ). 1. ""تَمْلِيسُ الجِلْدِ"" : جَعْلُهُ أمْلَسَ نَاعِماً، تَلْيِينُهُ. 2. ""تَمْلِيسُ الأرْضِ"" : تَسْوِيَتُهَا بِالْمَلاَّسَةِ."
6465	مَلاَسَةٌ		ملس		مصدر	مَلُسَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"مَلاَسَةٌ-مَلاَسَةٌ [م ل س] (مص. مَلُسَ). ""مَلاَسَةُ الْخَشَبِ"" : لِينُ مَلْمَسِهِ."
6466	مَلَصٌ		ملص		مصدر	مَلِصَ		مذكر			مفرد								Tn	R								"مَلَصٌ-مَلَصٌ [م ل ص] (مص. مَلِصَ). 1.""مَلَصُ الْخَيْطِ"" : سُقُوطُهُ، زَلَقُهُ لِمَلاَسَتِهِ وَلِينِهِ. 2.""مَلَصُ السَّمَكِةِ"" : اِنْفِلاَتُهَا."
6467	تَمْلِيطٌ		ملط		مصدر	مَلَّطَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَمْلِيطٌ-تَمْلِيطٌ [م ل ط] (مص. مَلَّطَ). ""تَمْلِيطُ الحَائِطِ"" : طَلْيُهُ بِالمِلاَطِ."
6468	مَلَقٌ		ملق		مصدر	مَلَقَ		مذكر			مفرد								Tn	R								"مَلِقٌ-مَلِقٌ [م ل ق] (صِيغَةُ فَعِل لِلْمُبالَغَةِ). ""رَجُلٌ مَلِقٌ"" : كَثِيرُ التَّمَلُّقِ."
6469	تَمْلِيكٌ		ملك		مصدر	مَلَّكَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَمْلِيكٌ-تَمْلِيكٌ [م ل ك] (مص. مَلَّكَ). 1. ""وَعَدَهُ بِتَمْلِيكِهِ أمْلاَكَهُ"" : جَعْلهَا مِلْكاً لَهُ. 2. ""اِتَّفَقُوا عَلَى تَمْلِيكِهِ عَلَيْهِمْ"" : جَعْلُهُ مَلِكاً عَلَيْهِمْ."
6470	مُلْكٌ		ملك		مصدر	مَلَكَ		مذكر			مفرد	أَمْلاَكٌ			DnN				Tn	R								"(مص. مَلَكَ) (مذ، مؤ). 1.""أَرْضٌ فِي مُلْكِهِ"" : مَمْلُوكَةٌ لَهُ، يَمْلِكُهَا، يَتَصَرَّفُ فِيهَا. ""عَقَارٌ فِي مُلْكِهِ"". 2.""لَهُ مُلْكٌ تَلِيدٌ"" : عَظَمَةٌ، سُلْطَانٌ. 3.""الْمُلْكُ"" : سُورَةٌ مِنْ سُوَرِ القُرْآنِ. الملك آية 1 تَبَارَكَ الَّذِي بِيَدِهِ الْمُلْك (قرآن)."
6471	تَمْنِيةٌ		مني		مصدر	مَنَّى		مؤنث			مفرد	+ات			DnN	Pf			Tn									"تَمْنِيةٌ-تَمْنِيةٌ [م ن ي] (مص. مَنَّى). ""سَعَى إلَى تَمْنِيَتِهِ بِالنَّجَاحِ"" : جَعْلُهُ يَتَمَنَّاهُ."
6472	مَمْلَكَةٌ		ملك		مصدر	مَلَكَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"مَمْلَكَةٌ-مَمْلَكَةٌ [م ل ك] (مص. مَلَكَ). 1.""الْمَمْلَكَةُ الْهَاشِمِيَّةُ"" : تَسْمِيَةٌ تُطْلَقُ عَلَى كَلِّ بِلاَدٍ خَاضِعَةٍ لِسُلْطَةِ الْمَلِكِ وأَوَامِرِهِ. ""الْمَمْلَكَةُ الْمَغْرِبِيَّةُ"" ""الْمَمْلَكَةُ العَرَبِيَّةُ السَّعُودِيَّةُ"". 2.""اِمْتَدَتْ مَمْلَكَتُهُ إِلَى حُدُودِ السّنيِغَالِ"" : حُدُودُ سُلْطَانِ الْمَلِكِ. 3.""مَمْلَكَةٌ"" : أَحَدُ الأَقْسَامِ فِي تَصْنِيفِ الْحَيَوَانِ والنَّبَاتِ والْجَمَادِ. ""مَمْلَكَةُ الْحَيَوَانِ"" ""مَمْلَكَةُ النَّحْلِ"" ""مَمْلَكَةُ الطُّيُورِ"" ""مَمْلَكَةُ الجَمَادِ""."
6473	مَلْمَلَةٌ		ململ		مصدر	مَلْمَلَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"مَلْمَلَةٌ-مَلْمَلَةٌ [م ل م ل] (مص. مَلْمَلَ). ""كَانَ يَشْعُرُ أَنَّ كَلَّ مَا حَوْلَهُ فِي مَلْمَلَةٍ"" : فِي سَيْرٍ مُسْرِعٍ."
6474	مِنَّةٌ		منن		مصدر	مَنَّ		مؤنث			مفرد	مِنَنٌ			DnN				Tn	R								"(مص. مَنَّ). 1.""تَفَضَّلَ عَلَيْهِ بِمِنَّةٍ"" : بِالإِحْسَانِ. 2.""أَهِيَ مِنَّةٌ أَمْ إِحْسَانٌ "" : مَنُّ الْمَرْءِ بِإِحْسَانِهِ وَالقَرْعُ بِهِ اِفْتِخَاراً. ""وَقَالَ الْمُخْتَارُ بِشَيْءٍ مِنْ مِنَّةٍ وَحَسَدٍ : كُلُوا وتَنَعَّمُوا، الْمُلْكُ لَنَا والْخَيْرَاتُ لَكُمْ"". (حنا مينه)."
6475	مِنَنٌ		منن		مصدر	مَنَّ		مؤنث			جمع		مِنَّةٌ						Tn									
6476	مَنٌّ		منن		مصدر	مَنَّ		مذكر			مفرد								Tn	R								"مَنٌّ-مَنٌّ [م ن ن] (مص. مَنَّ). 1.""مَنُّهُ كَثِيرٌ"" : كُلُّ مَا يُنْعَمُ بِهِ. 2.""مَا هَذَا الْمَنُّ"" : عِبَارَةٌ تُقَالُ لِمَنْ يُعَدِّدُ مَا صَنَعَ، وَيَمُنُّ بِمَا أَعْطَى، ويَعْتَدُّ بِهِ اعْتِداداً"". البقرة آية 264 لاَ تُبْطِلُوا صَدَقَاتِكُمْ بِالْمَنِّ والأَذَى (قرآن). 3.""يُحِبُ مَذَاقَ الْمَنِّ"" : نَدًى يَنْزِلُ عَلَى الشَّجَرِ ويَنْعَقِدُ عَسَلاً ويَجِفُّ ويُؤْكَلُ. البقرة آية 57 وَأَنْزَلْنَا عَلَيْكُمُ الْمَنَّ والسَّلْوَى (قرآن)."
6477	مَنْحٌ		منح		مصدر	مَنَحَ		مذكر			مفرد								Tn	R								"مَنْحٌ-مَنْحٌ [م ن ح] (مص. مَنَحَ). ""طَلَبَ مَنْحَهُ مُهْلَةً"" : أَيْ إِعْطَاءهُ ..."
6478	مَنَاعَةٌ		منع		مصدر	مَنَعَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"مَنَاعَةٌ-مَنَاعَةٌ [م ن ع] (مص. مَنَعَ). 1. ""هُوَ فِي مَنَاعَةٍ بَيْنَ أَهْلِهِ"" : فِي قُوَّةٍ واعْتِزَازٍ. ""وما كَانَتِ الْمُقَاوَمَةُ لِتَزِيدَ ذَوِي الْمَبَادِئِ إِلاَّ قُوَّةَ احْتِمَالٍ ومَنَاعَةٍ"". (إسحق الحسيني). 2.""مَنَاعَةُ الجِسْمِ"" : قُوَّةٌ يَكْتَسِبُهَا الجِسْمُ ويُقَاوِمُ بِهَا الأَمْرَاضَ والْجَرَاثِيمَ بِشَكْلٍ طَبِيعِيٍّ أَوْ بِاللِّقَاحِ."
6479	مَنْعٌ		منع		مصدر	مَنَعَ		مذكر			مفرد								Tn	Rp								"مَنْعٌ-مَنْعٌ [م ن ع] (مص. مَنَعَ). 1.""أُعْلِنَ عَنْ قَرَارِ مَنْعِ التَّجَوُّلِ"" : حَظْر التَّجَوُّلِ. 2.""حُبُوبُ مَنْعِ الْحَمْلِ"" : حُبُوبٌ لِلإِمْسَاكِ عَنِ الْحَمْلِ ولِإِعَاقَتِهِ."
6480	هَزْلٌ		هزل		مصدر	هَزَلَ		مذكر			مفرد								Tn	Rp								"هَزْلٌ-هَزْلٌ [هـ ز ل] (مص. مِنْ هَزَلَ). ""فِي كَلاَمِهِ هَـزْلٌ"" : مَزْحٌ، أَيْ عَدَم"
6481	مِهْنَةٌ		مهن		مصدر	مَهَنَ		مؤنث			مفرد	+ات;مِهَنٌ			DnN	Pf			Tn	Rp								"(مص. مَهَنَ). ""مِهْنَةُ النَّجَّارِ"" : حِرْفَتُهُ، صِنْعَتُهُ. ""سِرُّ الْمِهْنَةِ"" : سِرُّ مَهَارَتِهَا وَحِذْقِهَا وَمَا يُحِيطُ بِهَا."
6482	مَهَا		مهو		مصدر	مَهَا		مذكر			مفرد								Tn	Rw								ْمَهَا-الْمَهَا [م هـ و] (مص. مَهَا). 1. : ثَغْرٌ أَبْيَضُ نَقِيٌّ، كَثِيرُ الْمَاءِ. 2. : الكَوَاكِبُ.
6483	تَمْهِيدٌ		مهد		مصدر	مَهَّدَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَمْهِيدٌ-تَمْهِيدٌ [م هـ د] (مص. مَهَّدَ). 1.""قَرَأَ تَمْهِيدَ الكِتَابِ"" : مُقَدِّمَتَهُ. ""تَنَاوَلَ صُلْبَ الْمَوْضُوعِ بِلاَ تَمْهِيدٍ"". 2.""تَمْهِيداً لِلاجْتِمَاعِ"" : تَحْضِيراً، تَهْييئاً، إعْدَاداً لَهُ."
6484	مَهْدٌ		مهد		مصدر	مَهَدَ		مذكر			مفرد	مُهُودٌ			DnN				Tn	R								"(مص. مَهَدَ). 1.""مَهْدُ الرَّضِيعِ"" : سَرِيرُهُ الَّذِي يُهَيَّأُ لَهُ لِيَنَامَ عَلَيْهِ.آل عمران آية 46 ويُكَلِّمُ النَّاسَ فِي الْمَهْدِ (قرآن). 2. اُطْلُبِ العِلْمَ مِنَ الْمَهْدِ إِلَى اللَّحْـدِ (حديث) : أَيْ مِنَ النَّشْأَةِ إِلَى الْمَمَاتِ. 3.""قَضَى عَلَيْهِ فِي مَهْدِهِ"" : أَيْ فِي نَشْأَتِهِ. 4.""الشَّرْقُ مَهْدُ الْحَضَارَاتِ"": مَنْبِتٌ، مَنْشَأٌ، مَنْبَعٌ."
6485	مُهُودٌ		مهد		مصدر	مَهَدَ		مؤنث			جمع		مَهْدٌ						Tn									
6486	مَهَارَةٌ		مهر		مصدر	مَهَرَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"(مص. مَهَرَ). 1.""اِكْتَسَبَ مَهَارَةً فِي عَمَلِهِ بِالْمُمَارَسَةِ الدَّائِمَةِ"" : أَيْ حِذْقاً، بَرَاعَةً. ""يُنْجِزُ عَمَلَهُ بِمَهَارَةٍ"". 2. ""الْمَهَارَاتُ اللُّغَوِيَّةُ"" : القُدُرَاتُ الضَّرُورِيَّةُ لاسْتِخْدَامِ اللُّغَةِ والتَّمَكُّنِ مِنْهَا فَهْماً وتَحَدُّثاً وقِرَاءةً وكِتَابَةً."
6487	مَهْرٌ		مهر		مصدر	مَهَرَ		مذكر			مفرد	مُهُورٌ			DnN				Tn	R								"(مص. مَهَرَ). ""مَهْرُ الْمَرْأَةِ"": صَدَاقُهَا."
6488	مُهُورٌ		مهر		مصدر	مَهَرَ		مؤنث			جمع		مَهْرٌ						Tn									
6489	تَمْهِيلٌ		مهل		مصدر	مَهَّلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَمْهِيلٌ-تَمْهِيلٌ [م هـ ل] (مص. مَهَّلَ). 1. ""تَمْهِيلُهُ الدَّيْنَ"" : تَأْجِيلُهُ، تَأْخِيرُهُ. 2.""طَلَبَ مِنْهُ التَّمْهِيلَ فِي عَمَلِهِ"" : عَدَمَ الاسْتِعْجَالِ."
6490	مُهْلَةٌ		مهل		مصدر	مَهَلَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"مُهْلَةٌ-مُهْلَةٌ [م هـ ل] (مص. مَهَلَ). 1.""مَشَى عَلَى مُهْلَتِهِ"": بِرِفْقٍ وَتُؤَدَةٍ وَتَأَنٍّ. 2.""أَعْطَاهُ مُهْلَةً لِيُنْجِزَ عَمَلَهُ"" : أَيْ أَعْطَاهُ زَمَناً قَلِيلاً، فُرْصَةً مُحَدَّدَةً. 3.""أَعْطَاهُ مُهْلَةً لِتَصْفِيَةِ الحِسَابَاتِ وَالدُّيُونِ"" : الأَجَلُ الْمَمْنُوحُ بَعْدَ انْتِهَاءِ الْمُدَّةِ الْقَانُونِيَّةِ."
6491	مِهَنٌ		مهن		مصدر	مَهَنَ		مؤنث			جمع		مِهْنَةٌ						Tn	R								
6492	مَهَانَةٌ		مهن،هون		مصدر	مَهُنَ;هَانَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"مَهَانَةٌ-مَهَانَةٌ [م هـ ن، هـ و ن] (مص. مَهُنَ، هَانَ). ""تَعَرَّضَ لِلْمَهَانَةِ"" : لِلذُّلِّ والْحَقَارَةِ."
6493	تَمْوِيتٌ		موت		مصدر	مَوَّتَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَمْوِيتٌ-تَمْوِيتٌ [م و ت] (مص. مَوَّتَ). 1. ""تَمْوِيتُ الرَّجُلِ"": جَعْلُهُ يَمُوتُ، إمَاتَتُهُ. 2. ""تَمْوِيتُ الدَّوَابِّ"" : كَثْرَةُ الْمَوْتِ فِيهَا."
6494	تَمْوِيلٌ		مول		مصدر	مَوَّلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَمْوِيلٌ-تَمْوِيلٌ [م و ل] (مص. مَوَّلَ). ""يَحْتَاجُ الْمَشْرُوعُ إلَى تَمْوِيلٍ"" : يَحْتَاجُ إلَى مَالٍ."
6495	تَمْوِينٌ		مون		مصدر	موَّنَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَمْوِينٌ-تَمْوِينٌ [م و ن] (مص. موَّنَ). ""وَضَعُوا نِظَاماً جَدِيداً لِتَمْوِينِ الشَّعْبِ"" : نِظَامٌ تَضَعُهُ جَمَاعَةٌ مَّا أو حُكُومَةٌ لِتَوْفِيرِ الْمُؤَنِ للشَّعْبِ فِي فَتَراتِ الأزَمَاتِ الاقْتِصَادِيَّةِ."
6496	تَمْوِيهٌ		موه		مصدر	مَوَّهَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَمْوِيهٌ-تَمْوِيهٌ [م و هـ] (مص. مَوَّهَ). ""حَاوَلَ التَّمْوِيهَ عَلَى الأَعْدَاءِ"" : إخْفَاءَ الوَاقِعِ الفِعْلِيِّ وَإظْهَارَ مَا لا قِيمَةَ لَهُ لِلإيقَاعِ بِهِمْ."
